Ticker,Currency,CurrencySource,CurrencyWarning,CF_CURR
20202.OL,NOK,CF_CURR,,NOK
8TRA.ST,SEK,CF_CURR,,SEK
AAB.CO,DKK,CF_CURR,,DKK
AAK.ST,SEK,CF_CURR,,SEK
ABB.ST,SEK,CF_CURR,,SEK
ABL.OL,NOK,CF_CURR,,NOK
ACADE.ST,SEK,CF_CURR,,SEK
ACAST.ST,SEK,CF_CURR,,SEK
ACELP.ST,SEK,CF_CURR,,SEK
ACG1V.HE,EUR,CF_CURR,,EUR
ACRIa.ST,SEK,CF_CURR,,SEK
ACTI.ST,SEK,CF_CURR,,SEK
ADDTb.ST,SEK,CF_CURR,,SEK
AFAGR.HE,EUR,CF_CURR,,EUR
AFGA.OL,NOK,CF_CURR,,NOK
AFK.OL,NOK,CF_CURR,,NOK
AFRY.ST,SEK,CF_CURR,,SEK
AGATE.CO,DKK,CF_CURR,,DKK
AGFEb.CO,DKK,CF_CURR,,DKK
AKAST.OL,NOK,CF_CURR,,NOK
AKBM.OL,NOK,CF_CURR,,NOK
AKH.OL,NOK,suffix_fallback,,
AKRBP.OL,NOK,CF_CURR,,NOK
AKSOA.OL,NOK,CF_CURR,,NOK
AKVA.OL,NOK,CF_CURR,,NOK
ALFA.ST,SEK,CF_CURR,,SEK
ALIFb.ST,SEK,CF_CURR,,SEK
ALIG.ST,SEK,CF_CURR,,SEK
ALIVsdb.ST,SEK,CF_CURR,,SEK
ALKb.CO,DKK,CF_CURR,,DKK
ALLEI.ST,SEK,CF_CURR,,SEK
ALLIGOb.ST,SEK,CF_CURR,,SEK
ALVO.IC,ISK,CF_CURR,,ISK
AMBEA.ST,SEK,CF_CURR,,SEK
AMBUb.CO,DKK,CF_CURR,,DKK
AMRQM.IC,ISK,CF_CURR,,ISK
ANNEb.ST,SEK,CF_CURR,,SEK
ANODb.ST,SEK,CF_CURR,,SEK
ANORA.HE,EUR,CF_CURR,,EUR
ANOT.ST,SEK,CF_CURR,,SEK
AOJb.CO,DKK,CF_CURR,,DKK
APETIT.HE,EUR,CF_CURR,,EUR
APOTEA.ST,SEK,CF_CURR,,SEK
AQ.ST,SEK,CF_CURR,,SEK
ARCHA.OL,NOK,CF_CURR,,NOK
ARJOb.ST,SEK,CF_CURR,,SEK
ARP.ST,SEK,CF_CURR,,SEK
ARPL.ST,SEK,CF_CURR,,SEK
ARRA.OL,NOK,CF_CURR,,NOK
ASA.OL,NOK,CF_CURR,,NOK
ASKER.ST,SEK,CF_CURR,,SEK
ASPO.HE,EUR,CF_CURR,,EUR
ASSAb.ST,SEK,CF_CURR,,SEK
ATCOa.ST,SEK,CF_CURR,,SEK
ATEA.OL,NOK,CF_CURR,,NOK
ATIC.ST,SEK,CF_CURR,,SEK
ATLA.CO,DKK,CF_CURR,,DKK
ATORX.ST,SEK,CF_CURR,,SEK
ATRAV.HE,EUR,CF_CURR,,EUR
ATRLJb.ST,SEK,CF_CURR,,SEK
ATTE.ST,SEK,CF_CURR,,SEK
AUSS.OL,NOK,CF_CURR,,NOK
AUTO.OL,NOK,CF_CURR,,NOK
AXFO.ST,SEK,CF_CURR,,SEK
AZN.ST,SEK,CF_CURR,,SEK
AZT.OL,NOK,CF_CURR,,NOK
B3.ST,SEK,CF_CURR,,SEK
BACTIb.ST,SEK,CF_CURR,,SEK
BAKKA.OL,NOK,CF_CURR,,NOK
BALCO.ST,SEK,CF_CURR,,SEK
BAVA.CO,DKK,CF_CURR,,DKK
BEGR.ST,SEK,CF_CURR,,SEK
BEIAb.ST,SEK,CF_CURR,,SEK
BEIJb.ST,SEK,CF_CURR,,SEK
BERAHF.IC,ISK,CF_CURR,,ISK
BERGb.ST,SEK,CF_CURR,,SEK
BERNERb.ST,SEK,CF_CURR,,SEK
BESQAB.ST,SEK,CF_CURR,,SEK
BETCO.CO,DKK,CF_CURR,,DKK
BETCO.ST,SEK,CF_CURR,,SEK
BETSb.ST,SEK,CF_CURR,,SEK
BEWI.OL,NOK,CF_CURR,,NOK
BHGF.ST,SEK,CF_CURR,,SEK
BICO.ST,SEK,CF_CURR,,SEK
BIF.CO,DKK,CF_CURR,,DKK
BILIa.ST,SEK,CF_CURR,,SEK
BILL.ST,SEK,CF_CURR,,SEK
BINV.ST,SEK,CF_CURR,,SEK
BIOAb.ST,SEK,CF_CURR,,SEK
BIOBV.HE,EUR,CF_CURR,,EUR
BIOGb.ST,SEK,CF_CURR,,SEK
BIOPOR.CO,DKK,CF_CURR,,DKK
BITTI.HE,EUR,CF_CURR,,EUR
BMAX.ST,SEK,CF_CURR,,SEK
BNOR.OL,NOK,CF_CURR,,NOK
BO.CO,DKK,CF_CURR,,DKK
BOL.ST,SEK,CF_CURR,,SEK
BOLJ.ST,SEK,CF_CURR,,SEK
BONAVb.ST,SEK,CF_CURR,,SEK
BONEX.ST,SEK,CF_CURR,,SEK
BONHR.OL,NOK,CF_CURR,,NOK
BOOZT.CO,DKK,CF_CURR,,DKK
BOOZT.ST,SEK,CF_CURR,,SEK
BOR.OL,NOK,CF_CURR,,NOK
BOREO.HE,EUR,CF_CURR,,EUR
BORG.ST,SEK,CF_CURR,,SEK
BOUL.ST,SEK,CF_CURR,,SEK
BOUV.OL,NOK,CF_CURR,,NOK
BRAV.ST,SEK,CF_CURR,,SEK
BRGB.OL,NOK,CF_CURR,,NOK
BRIMH.IC,ISK,CF_CURR,,ISK
BRINb.ST,SEK,CF_CURR,,SEK
BTSb.ST,SEK,CF_CURR,,SEK
BUFAB.ST,SEK,CF_CURR,,SEK
BULTEN.ST,SEK,CF_CURR,,SEK
BWE.OL,NOK,CF_CURR,,NOK
BWLPG.OL,NOK,CF_CURR,,NOK
CADLR.OL,NOK,CF_CURR,,NOK
CAMX.ST,SEK,CF_CURR,,SEK
CANTA.ST,SEK,CF_CURR,,SEK
CAPSL.OL,NOK,CF_CURR,,NOK
CARAS.ST,SEK,CF_CURR,,SEK
CARLb.CO,DKK,CF_CURR,,DKK
CAST.ST,SEK,CF_CURR,,SEK
CATE.ST,SEK,CF_CURR,,SEK
CATME.ST,SEK,CF_CURR,,SEK
CAVEN.OL,NOK,CF_CURR,,NOK
CBRAIN.CO,DKK,CF_CURR,,DKK
CEMAT.CO,DKK,CF_CURR,,DKK
CEVI.ST,SEK,CF_CURR,,SEK
CHEMM.CO,DKK,CF_CURR,,DKK
CIBUS.ST,SEK,CF_CURR,,SEK
CINPHA.ST,SEK,CF_CURR,,SEK
CINT.ST,SEK,CF_CURR,,SEK
CLASb.ST,SEK,CF_CURR,,SEK
CLOEb.ST,SEK,CF_CURR,,SEK
CLOUD.OL,NOK,CF_CURR,,NOK
CMBT.OL,NOK,CF_CURR,,NOK
COLOb.CO,DKK,CF_CURR,,DKK
COLUM.CO,DKK,CF_CURR,,DKK
CONSTI.HE,EUR,CF_CURR,,EUR
CONTX.OL,NOK,CF_CURR,,NOK
COOR.ST,SEK,CF_CURR,,SEK
COREa.ST,SEK,CF_CURR,,SEK
CPHCAPST.CO,DKK,CF_CURR,,DKK
CRADb.ST,SEK,CF_CURR,,SEK
CRNA.OL,NOK,CF_CURR,,NOK
CTEK.ST,SEK,CF_CURR,,SEK
CTH1V.HE,EUR,CF_CURR,,EUR
CTTS.ST,SEK,CF_CURR,,SEK
CTY1S.HE,EUR,CF_CURR,,EUR
DANT.CO,DKK,CF_CURR,,DKK
DEDIC.ST,SEK,CF_CURR,,SEK
DEMANT.CO,DKK,CF_CURR,,DKK
DFDS.CO,DKK,CF_CURR,,DKK
DIGIA.HE,EUR,CF_CURR,,EUR
DIGIGR.HE,EUR,CF_CURR,,EUR
DIOS.ST,SEK,CF_CURR,,SEK
DNO.OL,NOK,CF_CURR,,NOK
DNORD.CO,DKK,CF_CURR,,DKK
DOFG.OL,NOK,CF_CURR,,NOK
DOMETIC.ST,SEK,CF_CURR,,SEK
DOV1V.HE,EUR,CF_CURR,,EUR
DSV.CO,DKK,CF_CURR,,DKK
DUNI.ST,SEK,CF_CURR,,SEK
DUST.ST,SEK,CF_CURR,,SEK
DYVOX.ST,SEK,CF_CURR,,SEK
EAST9.ST,SEK,CF_CURR,,SEK
EEZY.HE,EUR,CF_CURR,,EUR
EG7.ST,SEK,CF_CURR,,SEK
EGTX.ST,SEK,CF_CURR,,SEK
EIKF.IC,ISK,CF_CURR,,ISK
EIMS.IC,ISK,CF_CURR,,ISK
EIOF.OL,NOK,CF_CURR,,NOK
EKTAb.ST,SEK,CF_CURR,,SEK
ELABS.OL,NOK,CF_CURR,,NOK
ELANb.ST,SEK,CF_CURR,,SEK
ELEAV.HE,EUR,CF_CURR,,EUR
ELISA.HE,EUR,CF_CURR,,EUR
ELK.OL,NOK,CF_CURR,,NOK
ELMRA.OL,NOK,CF_CURR,,NOK
ELO.OL,NOK,CF_CURR,,NOK
ELON.ST,SEK,CF_CURR,,SEK
ELTEL.ST,SEK,CF_CURR,,SEK
ELUXb.ST,SEK,CF_CURR,,SEK
EMBLA.CO,DKK,CF_CURR,,DKK
EMGS.OL,NOK,CF_CURR,,NOK
ENDUR.OL,NOK,CF_CURR,,NOK
ENEA.ST,SEK,CF_CURR,,SEK
ENENTO.HE,EUR,CF_CURR,,EUR
ENGCONb.ST,SEK,CF_CURR,,SEK
ENH.OL,NOK,CF_CURR,,NOK
ENRO.ST,SEK,CF_CURR,,SEK
ENSG.CO,DKK,CF_CURR,,DKK
ENSU.OL,NOK,CF_CURR,,NOK
ENTRA.OL,NOK,CF_CURR,,NOK
ENVIP.OL,NOK,CF_CURR,,NOK
EOLUb.ST,SEK,CF_CURR,,SEK
EPEND.ST,SEK,CF_CURR,,SEK
EPIRa.ST,SEK,CF_CURR,,SEK
EPISb.ST,SEK,CF_CURR,,SEK
EPR.OL,NOK,CF_CURR,,NOK
EPROb.ST,SEK,CF_CURR,,SEK
EQNR.OL,NOK,CF_CURR,,NOK
EQVA.OL,NOK,CF_CURR,,NOK
ERICb.ST,SEK,CF_CURR,,SEK
ESENSE.HE,EUR,CF_CURR,,EUR
ESSITYb.ST,SEK,CF_CURR,,SEK
ETTE.HE,EUR,CF_CURR,,EUR
EVOG.ST,SEK,CF_CURR,,SEK
EWRK.ST,SEK,CF_CURR,,SEK
EXL1V.HE,EUR,suffix_fallback,,
FED.CO,DKK,CF_CURR,,DKK
FESTI.IC,ISK,CF_CURR,,ISK
FFARMS.CO,DKK,CF_CURR,,DKK
FIA1S.HE,EUR,CF_CURR,,EUR
FLS.CO,DKK,CF_CURR,,DKK
FLUGb.CO,DKK,CF_CURR,,DKK
FORTUM.HE,EUR,CF_CURR,,EUR
FRO.OL,NOK,CF_CURR,,NOK
FSECURE.HE,EUR,CF_CURR,,EUR
FSKRS.HE,EUR,CF_CURR,,EUR
GABR.CO,DKK,CF_CURR,,DKK
GARO.ST,SEK,CF_CURR,,SEK
GENT.OL,NOK,CF_CURR,,NOK
GERHSP.CO,DKK,CF_CURR,,DKK
GJ.CO,DKK,CF_CURR,,DKK
GLA1V.HE,EUR,CF_CURR,,EUR
GMAB.CO,DKK,CF_CURR,,DKK
GN.CO,DKK,CF_CURR,,DKK
GOD.OL,NOK,CF_CURR,,NOK
GOFORE.HE,EUR,CF_CURR,,EUR
GREENM.CO,DKK,CF_CURR,,DKK
GRK.HE,EUR,CF_CURR,,EUR
GSFG.OL,NOK,CF_CURR,,NOK
GUBRA.CO,DKK,CF_CURR,,DKK
GYL.OL,NOK,CF_CURR,,NOK
GYLDb.CO,DKK,CF_CURR,,DKK
HAFNI.OL,NOK,CF_CURR,,NOK
HAGA.IC,ISK,CF_CURR,,ISK
HAPD.IC,ISK,CF_CURR,,ISK
HARBb.CO,DKK,CF_CURR,,DKK
HARVIA.HE,EUR,CF_CURR,,EUR
HAUTO.OL,NOK,CF_CURR,,NOK
HAVI.OL,NOK,CF_CURR,,NOK
HBC.OL,NOK,CF_CURR,,NOK
HEIMAR.IC,ISK,CF_CURR,,ISK
HEX.OL,NOK,CF_CURR,,NOK
HHDC.CO,DKK,CF_CURR,,DKK
HIAB.HE,EUR,CF_CURR,,EUR
HKFOODS.HE,EUR,CF_CURR,,EUR
HLUNa.CO,DKK,CF_CURR,,DKK
HMb.ST,SEK,CF_CURR,,SEK
HONBS.HE,EUR,CF_CURR,,EUR
HPUR.OL,NOK,CF_CURR,,NOK
HSHP.OL,NOK,CF_CURR,,NOK
HUH1V.HE,EUR,CF_CURR,,EUR
HUMAN.ST,SEK,CF_CURR,,SEK
HUSCO.CO,DKK,CF_CURR,,DKK
HYPRO.OL,NOK,CF_CURR,,NOK
ICEAIR.IC,ISK,CF_CURR,,ISK
ICESEA.IC,ISK,CF_CURR,,ISK
ICP1V.HE,EUR,CF_CURR,,EUR
IDEX.OL,NOK,CF_CURR,,NOK
ILKKA2.HE,EUR,suffix_fallback,,
IMMUN.ST,SEK,CF_CURR,,SEK
INVEST.HE,EUR,CF_CURR,,EUR
IOX.OL,NOK,CF_CURR,,NOK
IRLABa.ST,SEK,CF_CURR,,SEK
ISOFOL.ST,SEK,CF_CURR,,SEK
ISS.CO,DKK,CF_CURR,,DKK
ITAB.ST,SEK,CF_CURR,,SEK
ITERA.OL,NOK,CF_CURR,,NOK
IWS.OL,NOK,CF_CURR,,NOK
JBTM.IC,ISK,CF_CURR,,ISK
JDAN.CO,DKK,CF_CURR,,DKK
JINJ.OL,NOK,CF_CURR,,NOK
JM.ST,SEK,CF_CURR,,SEK
JOMA.ST,SEK,CF_CURR,,SEK
K2Apref.ST,SEK,CF_CURR,,SEK
KABEb.ST,SEK,CF_CURR,,SEK
KALDA.IC,ISK,CF_CURR,,ISK
KALMAR.HE,EUR,CF_CURR,,EUR
KAMUX.HE,EUR,CF_CURR,,EUR
KARNO.ST,SEK,CF_CURR,,SEK
KBHL.CO,DKK,CF_CURR,,DKK
KCCK.OL,NOK,CF_CURR,,NOK
KCRA.HE,EUR,CF_CURR,,EUR
KDV.ST,SEK,CF_CURR,,SEK
KELAS.HE,EUR,CF_CURR,,EUR
KEMIRA.HE,EUR,CF_CURR,,EUR
KEMPOWR.HE,EUR,CF_CURR,,EUR
KESKOB.HE,EUR,CF_CURR,,EUR
KFASTb.ST,SEK,CF_CURR,,SEK
KID.OL,NOK,CF_CURR,,NOK
KIT.OL,NOK,CF_CURR,,NOK
KLARAb.ST,SEK,CF_CURR,,SEK
KLEEb.CO,DKK,CF_CURR,,DKK
KMCP.OL,NOK,suffix_fallback,,
KNEBV.HE,EUR,CF_CURR,,EUR
KNOW.ST,SEK,CF_CURR,,SEK
KOA.OL,NOK,CF_CURR,,NOK
KOG.OL,NOK,CF_CURR,,NOK
KOMPLK.OL,NOK,CF_CURR,,NOK
KOSKI.HE,EUR,CF_CURR,,EUR
KREATE.HE,EUR,CF_CURR,,EUR
KSL.HE,EUR,CF_CURR,,EUR
LAGRb.ST,SEK,CF_CURR,,SEK
LAMMb.ST,SEK,CF_CURR,,SEK
LAMOR.HE,EUR,CF_CURR,,EUR
LEHTO.HE,EUR,CF_CURR,,EUR
LIAB.ST,SEK,CF_CURR,,SEK
LIFCOb.ST,SEK,CF_CURR,,SEK
LIMET.ST,SEK,CF_CURR,,SEK
LINDEX.HE,EUR,CF_CURR,,EUR
LINK.OL,NOK,CF_CURR,,NOK
