FormationYear,ComparisonMethod,ComparisonMethodLabel,ObservedPortfolio,ComparisonPortfolio,n_firm_years,n_unique_firms,share_of_observed_tail
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.029411764705882353
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,66,66,0.9705882352941176
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,70,70,1.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.0273972602739726
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,71,71,0.9726027397260274
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,1,1,0.013333333333333334
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,74,74,0.9866666666666667
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,3,3,0.0375
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,77,77,0.9625
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,5,5,0.05813953488372093
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,81,81,0.9418604651162791
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,4,4,0.0449438202247191
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,85,85,0.9550561797752809
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,5,5,0.052083333333333336
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,91,91,0.9479166666666666
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,3,3,0.0297029702970297
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,98,98,0.9702970297029703
2020,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.01904761904761905
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,103,103,0.9809523809523809
2021,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.018518518518518517
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,106,106,0.9814814814814815
2022,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,3,3,0.02631578947368421
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,111,111,0.9736842105263158
2023,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,7,7,0.059322033898305086
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,111,111,0.940677966101695
2024,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,1,1,0.008130081300813009
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,122,122,0.991869918699187
2025,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,62,62,0.9841269841269841
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.015873015873015872
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,64,64,0.9846153846153847
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.015384615384615385
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,67,67,0.9852941176470589
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.014705882352941176
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,70,70,0.9859154929577465
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.014084507042253521
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,72,72,0.9863013698630136
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.0136986301369863
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,75,75,0.9868421052631579
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.013157894736842105
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,79,79,0.9875
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.0125
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,85,85,0.9883720930232558
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.011627906976744186
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,88,88,0.9887640449438202
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.011235955056179775
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,95,95,0.9895833333333334
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.010416666666666666
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,100,100,0.9900990099009901
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.009900990099009901
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,105,105,1.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,108,108,1.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,113,113,0.9912280701754386
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.008771929824561403
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,117,117,0.9915254237288136
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.00847457627118644
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q1,122,122,0.991869918699187
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q2,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q3,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q4,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Q5,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q1,Not assigned,1,1,0.008130081300813009
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,62,62,0.9841269841269841
2010,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.015873015873015872
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,64,64,0.9846153846153847
2011,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.015384615384615385
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,67,67,0.9852941176470589
2012,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.014705882352941176
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,70,70,1.0
2013,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,72,72,0.9863013698630136
2014,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.0136986301369863
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,75,75,1.0
2015,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,79,79,0.9875
2016,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.0125
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,85,85,0.9883720930232558
2017,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.011627906976744186
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,88,88,0.9887640449438202
2018,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.011235955056179775
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,95,95,0.9895833333333334
2019,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.010416666666666666
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,100,100,0.9900990099009901
2020,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.009900990099009901
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,105,105,1.0
2021,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,108,108,1.0
2022,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,113,113,0.9912280701754386
2023,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.008771929824561403
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,117,117,0.9915254237288136
2024,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.00847457627118644
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q1,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q2,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q3,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q4,0,0,0.0
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Q5,122,122,0.991869918699187
2025,Method4_ProbabilisticQuality,Probabilistic Quality,Q5,Not assigned,1,1,0.008130081300813009
